,編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
388,RPOPMLKLOHOFFBJ48CA,豆子埔段,8.7,都市：商,20000,66,持分移轉,8060000
389,RPVPMLKLOHOFFBJ56CA,家興段,47.51,都市：住,10000,108,持分移轉,5700000
390,RPUTMLPJPHOFFCJ37CA,旭光段,47.49,都市：其他:科技商務服務專用區,100000,258,持分移轉,1900000
391,RPRWMLPJPHOFFCJ37CA,旭光段,37.92,都市：其他:科技商務服務專用區,100000,206,持分移轉,1900000
392,RPQUMLPJPHOFFCJ07CA,旭光段,45.47,都市：其他:科技商務服務專用區,100000,247,持分移轉,1900000
393,RPVOMLSJPHOFFCJ27CA,旭光段,45.84,都市：其他:科技商務服務專用區,100000,249,持分移轉,1900000
394,RPPPMLTJPHOFFCJ86CA,資源段,30.28,都市：住,10000,87,持分移轉,19390001
395,RPPNMLMKPHOFFCJ68CA,旭光段,27.43,都市：其他:科技商務服務專用區,100000,149,持分移轉,1900000
396,RPQNMLPKPHOFFCJ09CA,旭光段,28.72,都市：其他:科技商務服務專用區,100000,156,持分移轉,1900000
397,RPUOMLRKOHOFFCJ27EA,田洋段,636.38,非都市：特定農業區 ; 非都市編定：農牧用地,6,3,持分移轉,2470000
398,RPUOMLRKOHOFFCJ27EA,田洋段,638.48,非都市：特定農業區 ; 非都市編定：農牧用地,6,3,持分移轉,2520000
399,RPRNMLLLOHOFFDJ88CA,長威段,22.6,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,459,持分移轉,11180000
400,RPRNMLLLOHOFFDJ88CA,長威段,19.05,非都市：特定農業區 ; 非都市編定：農牧用地,100000,1140,持分移轉,11200000
401,RPRNMLLLOHOFFDJ88CA,長威段,2.52,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,68,持分移轉,11220013
402,RPRNMLLLOHOFFDJ88CA,長威段,7.43,非都市：特定農業區 ; 非都市編定：農牧用地,100000,257,持分移轉,11500000
403,RPRNMLPKPHOFFCJ56CA,旭光段,15.65,都市：其他:科技商務服務專用區,100000,85,持分移轉,1900000
404,RPSNMLNKPHOFFCJ09CA,五豐段,698.9,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,6710005
405,RPSNMLNKPHOFFCJ09CA,五豐段,1805.97,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,6710006
406,RPSNMLNKPHOFFCJ09CA,五豐段,2524.97,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,6790043
407,RPQOMLKLOHOFFBJ58CA,貓兒錠段拔子窟小段,82.82,非都市：鄉村區 ; 非都市編定：乙種建築用地,36864,144,持分移轉,14060000
408,RPRNMLNJPHOFFBJ78CA,隘興段,3516.22,都市：住,1,1,全筆移轉,6280003
409,RPRPMLMKPHOFFBJ98CA,自強段,31.58,都市：住,100000,1472,持分移轉,2340000
410,RPXOMLKLOHOFFDJ86CA,綠園段,77.79,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,10820000
411,RPTNMLRKOHOFFDJ96CA,中興段中興小段,99.0,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,2510000
412,RPUOMLRLOHOFFDJ27CA,長嶺段,1149.0,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,12600000
413,RPSOMLTKOHOFFDJ17CA,祥湖段,97.69,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,3100000
414,RPQNMLLLOHOFFCJ68CA,?油林段,7.7,都市：住,10,1,持分移轉,1520101
415,RPQNMLLLOHOFFCJ68CA,?油林段,51.0,都市：住,1,1,全筆移轉,1520105
416,RPQNMLLLOHOFFCJ68CA,?油林段,18.4,都市：住,5,1,持分移轉,1520107
417,RPQOMLTKOHOFFCJ86CA,上山壹段,331.16,非都市：山坡地保育區 ; 非都市編定：農牧用地,21600,918,持分移轉,3810000
418,RPPNMLNJPHOFFBJ58CA,巨埔段,2500.0,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,3370000
419,RPVOMLPLOHOFFBJ96CA,東華段,86.69,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,11790013
420,RPVOMLPLOHOFFBJ96CA,東華段,6.62,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,3127,持分移轉,11790018
