,編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
876,RPSNMLMJPHOFFBJ78CA,14.0,0.45,守衛室、公共交誼區,鋼筋混凝土造,1994年3月31日,十層,一層 陽台
877,RPSNMLMJPHOFFBJ78CA,14.0,20.61,共用部分,鋼筋混凝土造,1994年3月31日,十層,nan
878,RPXNMLKKPHOFFBJ56CA,7.0,113.07,商業用,鋼筋混凝土造,101年1月11日,六層,六層 陽台 雨遮
879,RPXNMLKKPHOFFBJ56CA,7.0,49.38,本共有部分之項目有防空避難室、停車空間、樓梯間、機械室、水箱等５項,鋼筋混凝土造,101年1月11日,六層,nan
880,RPXNMLKKPHOFFBJ56CA,7.0,46.27,本共有部分之項目有防空避難室、停車空間、樓梯間、機械室、水箱等５項,鋼筋混凝土造,101年1月11日,六層,nan
881,RPXNMLKKPHOFFBJ56CA,7.0,102.8,商業用,鋼筋混凝土造,101年1月11日,六層,六層 陽台 雨遮
882,RPXNMLKKPHOFFBJ56CA,7.0,104.25,本共有部分之項目有防空避難室、停車空間、樓梯間、機械室、水箱等５項,鋼筋混凝土造,101年1月11日,六層,nan
883,RPXNMLKKPHOFFBJ56CA,7.0,1.35,管理室,鋼筋混凝土造,101年1月11日,六層,一層
884,RPSOMLOLOHOFFCJ66CA,12.0,262.96,農舍,鋼筋混凝土造,1996年10月25日,三層,一層 二層 三層 雨遮
885,RPTNMLLLOHOFFDJ09CA,26.0,58.2,農舍,加強磚造,1981年12月10日,二層,一層 二層 屋頂突出物
886,RPTNMLLLOHOFFDJ09CA,26.0,58.2,農舍,加強磚造,1981年12月10日,二層,一層 二層 屋頂突出物
887,RPQNMLPJPHOFFBJ98DA,5.0,108.21,住家用,鋼筋混凝土造,103年5月1日,二十三層,五層 陽台
888,RPQNMLPJPHOFFBJ98DA,5.0,67.79,本共有部分之項目有資源回收室、防空避難室兼停車空間、樓梯間、管理委員室、頂蓋型廣場式開放、機械室、水箱等七項。,鋼筋混凝土造,103年5月1日,二十三層,nan
889,RPQOMLMLPHOFFCJ56EA,nan,75.6,住家用,加強磚造,nan,二層,一層 二層
890,RPQOMLLJPHOFFDJ78CA,14.0,258.78,住家用,鋼筋混凝土造,1994年8月10日,三層,一層 二層 三層 陽台 屋頂突出物 雨遮
891,RPPNMLQJPHOFFDJ09CA,11.0,1721.76,作業廠房、工廠,鋼骨造,1997年1月2日,二層,一層 二層
892,RPXSNLMKPHOFFCJ47CA,nan,103.85,店舖,鋼筋混凝土造,108年3月4日,十四層,一層 陽台 見其他登記事項
893,RPXSNLMKPHOFFCJ47CA,nan,24.0,本共有部分項目有：樓電梯間、電梯間、樓梯間、消防水箱、水箱、昇降機房等共六項,鋼筋混凝土造,108年3月4日,十四層,nan
894,RPXSNLMKPHOFFCJ47CA,nan,25.49,本共有部分項目有：停車空間、清水池、污水處理槽、機械室、台電配電室、電信室、開放空間、守衛室、發電機室等共九項,鋼筋混凝土造,108年3月4日,十四層,nan
895,RPXSNLMKPHOFFCJ47CA,nan,0.04,店舖,鋼筋混凝土造,108年3月4日,十四層,一層
896,RPXSNLMKPHOFFCJ47CA,nan,0.01,本共有部分項目有：樓電梯間、電梯間、樓梯間、消防水箱、水箱、昇降機房等共六項,鋼筋混凝土造,108年3月4日,十四層,nan
897,RPXSNLMKPHOFFCJ47CA,nan,55.64,本共有部分項目有：停車空間、清水池、污水處理槽、機械室、台電配電室、電信室、開放空間、守衛室、發電機室等共九項,鋼筋混凝土造,108年3月4日,十四層,nan
898,RPPNMLNKPHOFFCJ78CA,22.0,105.38,住家用,鋼筋混凝土造,1986年5月29日,六層,五層 六層 夾層 見其他登記事項
899,RPPNMLNKPHOFFCJ78CA,22.0,20.03,共用部分,鋼筋混凝土造,1986年5月29日,六層,nan
900,RPPNMLNKPHOFFCJ78CA,22.0,20.2,共用部分,鋼筋混凝土造,1986年5月29日,六層,nan
901,RPXPOLRKPHOFFCJ77CA,nan,125.1,店舖,鋼筋混凝土造,108年3月4日,十四層,一層 陽台 見其他登記事項
902,RPXPOLRKPHOFFCJ77CA,nan,28.39,本共有部分項目有：樓電梯間、電梯間、樓梯間、消防水箱、水箱、昇降機房等共六項,鋼筋混凝土造,108年3月4日,十四層,nan
903,RPXPOLRKPHOFFCJ77CA,nan,23.03,本共有部分項目有：停車空間、清水池、污水處理槽、機械室、台電配電室、電信室、開放空間、守衛室、發電機室等共九項,鋼筋混凝土造,108年3月4日,十四層,nan
904,RPXPOLRKPHOFFCJ77CA,nan,0.02,店舖,鋼筋混凝土造,108年3月4日,十四層,一層
905,RPXPOLRKPHOFFCJ77CA,nan,0.0,本共有部分項目有：樓電梯間、電梯間、樓梯間、消防水箱、水箱、昇降機房等共六項,鋼筋混凝土造,108年3月4日,十四層,nan
906,RPXPOLRKPHOFFCJ77CA,nan,30.83,本共有部分項目有：停車空間、清水池、污水處理槽、機械室、台電配電室、電信室、開放空間、守衛室、發電機室等共九項,鋼筋混凝土造,108年3月4日,十四層,nan
907,RPXNMLMLPHOFFCJ96CA,nan,101.07,辦公室,鋼筋混凝土造,108年3月4日,十四層,十四層 陽台
908,RPXNMLMLPHOFFCJ96CA,nan,22.9,本共有部分項目有：樓電梯間、電梯間、樓梯間、消防水箱、水箱、昇降機房等共六項,鋼筋混凝土造,108年3月4日,十四層,nan
