編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
RPQQMLPKNHOFFDA38CA,美仁段一小段,26.96,都市：住,100000,304,持分移轉,60000
RPSNMLQKNHOFFDA38CA,延吉段一小段,33.25,都市：住,4,1,持分移轉,5090000
RPTNMLPKNHOFFDA38CA,福德段二小段,30.5,都市：住,4,1,持分移轉,7400000
RPSOMLQJOHOFFDA48CA,西松段二小段,31.75,都市：商,4,1,持分移轉,5470000
RPTPMLRKOHOFFDA88CA,西松段二小段,14.49,都市：其他:第二種商業區及第三種住宅區。,100000,683,持分移轉,5950000
RPPNMLMLNHOFFDA77CA,民生段,41.5,都市：住,4,1,持分移轉,420006
RPPNMLMLNHOFFDA77CA,民生段,5.75,都市：住,4,1,持分移轉,420026
RPVOMLMKOHOFFFA68CA,大安段三小段,21.91,都市：住,73499,32,持分移轉,2980000
RPWNMLOLNHOFFDA68CA,經貿段,79.18,都市：住,100000,3179,持分移轉,800002
RPQPMLRKNHOFFCA38CA,正義段二小段,2.17,都市：商,10000,184,持分移轉,3110000
RPQPMLRKNHOFFCA38CA,正義段二小段,2.02,都市：商,10000,184,持分移轉,3120000
RPUPMLOKOHOFFDA68CA,福德段四小段,34,都市：住,4,1,持分移轉,3640000
RPVQMLMLNHOFFCA58CA,吉林段四小段,10.62,都市：商,1000000,6313,持分移轉,6420000
RPXPMLPKNHOFFCA88CA,吉林段四小段,4.31,都市：商,10000,114,持分移轉,7910000
RPRNMLMLNHOFFCA87CA,吉林段四小段,5.28,都市：商,10000,433,持分移轉,3020000
RPRNMLMLNHOFFCA87CA,吉林段四小段,4.81,都市：住,10000,433,持分移轉,3030000
RPRNMLPKNHOFFCA08CA,潭美段五小段,29.42,都市：其他:住商混合區,10000,95,持分移轉,1130000
RPTQMLPKNHOFFCA58CA,碧湖段二小段,11.87,都市：住,10000,13,持分移轉,5290000
RPQOMLOKNHOFFCA97CA,金泰段,44.15,都市：商,100000,1185,持分移轉,870002
